FileName,SampleName,CellType,Batch
7_GFP_WT1.genes.results,GFP_WT_1,GFP_WT,4
8_GFP_WT2.genes.results,GFP_WT_2,GFP_WT,4
9_GFP_WT3.genes.results,GFP_WT_3,GFP_WT,4
10_GFP_KO1.genes.results,GFP_KO_1,GFP_KO,4
11_GFP_KO2.genes.results,GFP_KO_2,GFP_KO,4
12_GFP_KO3.genes.results,GFP_KO_3,GFP_KO,4
13_TOX_WT1.genes.results,TOX_WT_1,TOX_WT,4
14_TOX_WT2.genes.results,TOX_WT_2,TOX_WT,4
15_TOX_WT3.genes.results,TOX_WT_3,TOX_WT,4
16_TOX_KO1.genes.results,TOX_KO_1,TOX_KO,4
17_TOX_KO2.genes.results,TOX_KO_2,TOX_KO,4
18_TOX_KO3.genes.results,TOX_KO_3,TOX_KO,4
