;p_val;avg_logFC;clus6.mean;clus2.mean
Tyrobp;3.79E-016;1.29662551;2.706648828;1.410023319
Vim;0.00000000000236336;0.999712734;1.220216805;0.220504071
Lsp1;0.0000000000737964;0.942152273;1.748258662;0.806106389
Cst3;0.000000000273599;1.163049213;2.391204314;1.228155101
Lgals1;0.00000000122689;1.068950749;2.157893513;1.088942764
Id2;0.00000000314816;0.979712633;1.487034466;0.507321833
Dntt;0.00000000373092;-0.520719931;0.047728549;0.56844848
Fcer1g;0.00000000509695;0.96108688;1.564169443;0.603082564
Myb;0.00000000594221;-0.748419679;0.499949375;1.248369054
Cdk6;0.00000000657082;-0.869138449;0.736208917;1.605347366
H2afy;0.0000000310789;-0.592926324;2.412611406;3.00553773
Plac8;0.0000000446897;-0.62007769;3.147327731;3.767405421
Hsp90ab1;0.0000000502817;-0.464277199;2.73790053;3.202177729
Sox4;0.0000000689013;-0.744451899;0.649842793;1.394294692
S100a10;0.000000133706;0.769773195;1.692517394;0.922744199
2810417H13Rik;0.000000187238;0.879054001;1.121013629;0.241959627
Calm1;0.0000002187;0.686796679;1.702135316;1.015338636
Ms4a6c;0.000000274748;0.718877165;1.061254345;0.34237718
Cyba;0.000000294106;0.705825001;1.456807172;0.750982171
Tmsb4x;0.000000351404;0.425475006;3.963834504;3.538359497
Pld4;0.000000430772;0.456910735;0.456910735;0
Cd48;0.00000145546;0.584846856;0.843582501;0.258735645
Slfn2;0.00000168692;0.503061016;0.556906334;0.053845318
S100a6;0.00000261453;0.572456398;0.626728989;0.05427259
Cd7;0.00000345992;0.608522096;0.701656457;0.093134361
Adgrg1;0.00000355869;-0.369653471;0.12093832;0.490591791
Rac2;0.000003579;0.52041304;1.97703663;1.456623589
Cd74;0.00000372235;0.869357312;0.933830386;0.064473075
Sh3bgrl3;0.00000412899;0.373749976;2.750007976;2.376257999
Ccr2;0.00000471889;0.429654981;0.460993223;0.031338241
Rpl12;0.00000486337;-0.307246863;2.965766472;3.273013335
Hist1h1b;0.00000540978;0.504071618;0.542884373;0.038812755
Cldnd1;0.0000057881;0.561055353;0.836414089;0.275358736
Ctsz;0.00000620662;0.542486754;0.829539451;0.287052697
Psap;0.00000667474;0.71741849;1.541415997;0.823997506
Batf3;0.0000068277;0.421760373;0.421760373;0
Hmgb2;0.00000770494;0.801000766;1.993713704;1.192712938
Arpc1b;0.00000844218;0.51102218;2.280412653;1.769390473
Itga4;0.000010577;-0.669298156;0.895075342;1.564373498
Top2a;0.0000107134;0.639562425;0.924670413;0.285107988
H2-Aa;0.0000110633;0.523252982;0.523252982;0
Ly6e;0.0000122985;0.49368244;2.498454532;2.004772093
Pim1;0.0000145672;-0.644730611;0.858651495;1.503382106
Mki67;0.0000147452;0.421720716;0.506341166;0.08462045
Cfp;0.0000148433;0.398216375;0.464339755;0.06612338
Rps2;0.000017246;-0.286149257;3.364949664;3.651098921
Lgals3;0.0000178237;0.467151251;0.467151251;0
Nrp1;0.0000178237;0.326357795;0.326357795;0
Tmsb10;0.0000188649;0.356377186;3.659657483;3.303280297
Akap13;0.0000192381;-0.533344334;0.613179966;1.1465243
Ms4a4c;0.0000206951;0.442127125;0.51959371;0.077466585
Ptprcap;0.0000208095;-0.564199272;0.923521643;1.487720915
Kctd14;0.0000225756;0.320350757;0.320350757;0
Hist1h2al;0.0000355147;0.408610208;0.459835006;0.051224798
Myl10;0.0000426151;-0.322436336;0.064264385;0.386700721
Cd34;0.0000591171;-0.434781735;0.330446705;0.76522844
Birc5;0.0000611218;0.440233763;0.603268055;0.163034292
Tk1;0.0000662024;0.281070734;0.306862604;0.025791871
Desi2;0.0000664685;-0.348443923;0.157824494;0.506268417
Arpc5;0.0000695648;0.529533127;1.138393016;0.608859889
Unc93b1;0.0000737633;0.439064976;0.688770724;0.249705748
Coro1a;0.0000804014;0.413711431;2.145601081;1.73188965
Rasgrp2;0.0000849029;-0.46274251;0.516203971;0.978946481
Aif1;0.0000971466;0.348585257;0.367948903;0.019363646
S100a11;0.000102304;0.527750015;1.491255182;0.963505167
Selplg;0.000106721;0.503734471;1.394944085;0.891209614
Mif;0.000111122;-0.542947071;1.089110632;1.632057703
Ifi30;0.000113694;0.274142724;0.274142724;0
Stx7;0.000119471;0.374952104;0.561838955;0.186886851
Tfdp2;0.000126516;-0.279106017;0.122172235;0.401278252
Gm2a;0.000132634;0.387822893;0.588484322;0.200661429
Tpm4;0.000165595;0.418692916;0.655895524;0.237202608
H2-Eb1;0.000178373;0.340966169;0.340966169;0
Map2k1;0.000178373;0.229365993;0.229365993;0
Grn;0.000179726;0.331276815;0.493460542;0.162183726
S100a4;0.000195923;0.46272505;0.602815944;0.140090894
Rnase6;0.000200087;0.398716181;0.563132746;0.164416566
Mta3;0.000207347;-0.372430015;0.211049377;0.583479392
Kctd1;0.000208478;-0.205162011;0.046677705;0.251839717
Arf5;0.000212237;0.46812763;1.500580489;1.032452859
Lockd;0.000214523;0.396452939;0.588474321;0.192021383
Clspn;0.000250615;0.247972299;0.280585528;0.032613229
Runx2;0.000281433;0.384970303;0.615007197;0.230036894
Il12a;0.000288295;-0.271871778;0.089054124;0.360925902
Eef1g;0.000326023;-0.281952083;2.569326392;2.851278475
Napsa;0.000344571;0.503439115;1.250034251;0.746595136
Adgrg3;0.000387162;-0.325112619;0.246460482;0.571573101
Hsp90b1;0.000395496;0.41297778;0.781328971;0.368351192
Gm10263;0.000407985;-0.411731264;1.567239493;1.978970757
Gfpt1;0.000408784;-0.173955693;0.042788153;0.216743846
Rrm2;0.000416731;0.244622464;0.288259874;0.04363741
Snrnp200;0.000423157;-0.280365899;0.153224853;0.433590752
Prdx4;0.000432845;0.209929024;0.209929024;0
Ahnak;0.000448003;0.32943709;0.465006644;0.135569554
Neil3;0.000451933;0.237245696;0.251377692;0.014131996
Anxa6;0.000480401;0.31941287;0.445663826;0.126250956
Ppfia4;0.00049159;0.251430574;0.28099476;0.029564186
Pfn1;0.000506688;0.335656327;3.013302707;2.67764638
Anxa5;0.000582917;0.273918368;0.369276409;0.095358042
Wdr6;0.000587081;-0.222747827;0.084875896;0.307623724
Ppm1m;0.000589377;0.274944031;0.36136255;0.086418519
Hist1h4d;0.000619393;0.245629812;0.291185495;0.045555683
Ankle1;0.000669761;0.179334807;0.179334807;0
Reep5;0.000709946;0.405229639;0.920835387;0.515605749
Cks1b;0.000710841;0.443403868;1.119062779;0.67565891
Cfl1;0.000724848;0.379157237;2.244275687;1.86511845
Pid1;0.000732458;0.265914046;0.282514201;0.016600154
Racgap1;0.000732458;0.218475981;0.230697898;0.012221917
Btg1;0.000748941;0.366044256;0.645416619;0.279372363
Cdv3;0.000804393;-0.38562038;0.526031913;0.911652293
Itgb7;0.000809638;0.375244307;0.716025291;0.340780984
Cyth4;0.000831611;0.291550521;0.466851941;0.175301421
Esco2;0.000831817;0.161050814;0.161050814;0
Ctss;0.000854302;0.321433917;0.45437863;0.132944712
Ppp1r11;0.000871039;0.296447432;0.509154299;0.212706867
Irf5;0.000882888;0.23775482;0.278033219;0.040278398
Asf1b;0.000920611;0.237208742;0.292953608;0.055744866
Sat1;0.000929662;0.285179388;0.357393093;0.072213704
Msn;0.000962147;0.391395659;0.996793341;0.605397681
Gnl3;0.000969995;-0.340065112;0.315445914;0.655511026
Alox5ap;0.000996916;0.437564385;1.252573609;0.815009224
Ctsh;0.001020008;0.342926364;0.525285586;0.182359222
Mphosph8;0.001071609;0.225163249;0.297141032;0.071977783
Hcls1;0.001085302;0.29830157;0.477297255;0.178995685
Spc25;0.001099658;0.190313939;0.202535857;0.012221917
Laptm5;0.001130184;0.419201558;1.332616297;0.913414738
Kif22;0.001145308;0.181179194;0.191868745;0.010689551
Arl6ip5;0.001180746;0.386858256;0.923800797;0.536942541
Npm1;0.001184611;-0.452672688;1.806062646;2.258735334
Anxa2;0.001209579;0.374397281;0.696512568;0.322115286
Rpl22l1;0.001233065;-0.410417936;1.585945449;1.996363385
Incenp;0.001237762;0.271072228;0.389095417;0.118023189
Clic1;0.001244707;0.402844204;1.742371217;1.339527013
Frrs1;0.001279206;0.154956248;0.154956248;0
Akr1a1;0.001286626;0.401023302;0.900548784;0.499525483
Lancl1;0.001289271;-0.136053786;0.031154468;0.167208254
Pebp1;0.001324174;-0.359518447;1.326227571;1.685746017
Smc2;0.0013408;0.294706268;0.444164235;0.149457967
Ly6c2;0.00134519;0.396591171;0.460202756;0.063611585
H2afz;0.001358316;0.38505247;2.368038603;1.982986133
Khk;0.001369858;0.230491043;0.29806471;0.067573667
Cpne3;0.001379428;0.264004301;0.376843404;0.112839102
Marcksl1;0.001403551;-0.339219753;0.37526824;0.714487993
Bfsp2;0.001419226;-0.158404086;0.031520301;0.189924386
