GeneSymbol	test
Adnp	Adnp
Aebp1	Aebp1
Aebp2	Aebp2
Nr0b1	Nr0b1
Ahr	Ahr
Ahrr	Ahrr
Aip	Aip
Aire	Aire
Alx3	Alx3
Alx4	Alx4
Ank1	Ank1
Ankfy1	Ankfy1
Nr2f2	Nr2f2
Ar	Ar
Phox2a	Phox2a
Arnt	Arnt
Arnt2	Arnt2
Arntl	Arntl
Arx	Arx
Atbf1	Atbf1
Atf1	Atf1
Atf2	Atf2
Atf3	Atf3
Atf4	Atf4
Atm	Atm
Atoh1	Atoh1
Neurod6	Neurod6
Neurod4	Neurod4
Neurog2	Neurog2
Neurog3	Neurog3
Hnrpd	Hnrpd
Bach1	Bach1
Bach2	Bach2
Bapx1	Bapx1
Bard1	Bard1
Barx1	Barx1
Barx2	Barx2
Bcl6b	Bcl6b
Bcl3	Bcl3
Bcl6	Bcl6
Prdm1	Prdm1
Bmi1	Bmi1
Bnc1	Bnc1
Smyd1	Smyd1
Brca1	Brca1
Zfp36l1	Zfp36l1
Klf5	Klf5
C2ta	C2ta
Camk4	Camk4
Nr1i3	Nr1i3
Catnb	Catnb
Runx2	Runx2
Runx1	Runx1
Cbfa2t1h	Cbfa2t1h
Runx3	Runx3
Cbfb	Cbfb
Cbx2	Cbx2
Cbx3	Cbx3
Cbx4	Cbx4
Ccnk	Ccnk
Ccnt1	Ccnt1
Cdk2	Cdk2
Cdk4	Cdk4
Cdk7	Cdk7
Cdkn2a	Cdkn2a
Cdkn2b	Cdkn2b
Cdkn2c	Cdkn2c
Cdkn2d	Cdkn2d
Cdx1	Cdx1
Cdx2	Cdx2
Cdx4	Cdx4
Cebpa	Cebpa
Cebpz	Cebpz
Cebpb	Cebpb
Cebpd	Cebpd
Cebpg	Cebpg
Chgb	Chgb
Chx10	Chx10
Cited1	Cited1
Clock	Clock
Cnbp1	Cnbp1
Cops2	Cops2
Creb1	Creb1
Creb3	Creb3
Crebbp	Crebbp
Crebl1	Crebl1
Crem	Crem
Crx	Crx
Ctbp2	Ctbp2
Ctcf	Ctcf
Cutl1	Cutl1
Cutl2	Cutl2
Dach1	Dach1
Daxx	Daxx
Dbp	Dbp
Dbx1	Dbx1
Pcbd	Pcbd
Ddef1	Ddef1
Ddit3	Ddit3
Twist2	Twist2
Dlx1	Dlx1
Dlx2	Dlx2
Dlx3	Dlx3
Dlx4	Dlx4
Dlx5	Dlx5
Dlx6	Dlx6
Dnmt1	Dnmt1
Dnmt3a	Dnmt3a
