Chr	Start	End	Coordinates	Strand	Length	Cluster	Symbol
2	5422552	5422752	2:5422552-5422752	.	200	cluster_1	Camk1d
2	19150358	19150558	2:19150358-19150558	.	200	cluster_1	Armc3
2	29562883	29563083	2:29562883-29563083	.	200	cluster_1	Rapgef1
3	84505357	84505557	3:84505357-84505557	.	200	cluster_1	Tigd4
3	126725727	126725927	3:126725727-126725927	.	200	cluster_1	Ank2
4	102482318	102482518	4:102482318-102482518	.	200	cluster_1	Pde4b
6	122839855	122840055	6:122839855-122840055	.	200	cluster_1	C3ar1
7	37137381	37137581	7:37137381-37137581	.	200	cluster_1	Zfp536
8	47339267	47339467	8:47339267-47339467	.	200	cluster_1	1700011L03Rik
9	40486425	40486625	9:40486425-40486625	.	200	cluster_1	Gm48277
9	107157698	107157898	9:107157698-107157898	.	200	cluster_1	Mapkapk3
10	60088607	60088807	10:60088607-60088807	.	200	cluster_1	Psap
10	62784406	62784606	10:62784406-62784606	.	200	cluster_1	Dna2
10	120159752	120159952	10:120159752-120159952	.	200	cluster_1	1700006J14Rik
11	113399032	113399232	11:113399032-113399232	.	200	cluster_1	Slc39a11
12	17732271	17732471	12:17732271-17732471	.	200	cluster_1	Hpcal1
12	36033566	36033766	12:36033566-36033766	.	200	cluster_1	Agr2
12	73650504	73650704	12:73650504-73650704	.	200	cluster_1	Prkch
14	32916249	32916449	14:32916249-32916449	.	200	cluster_1	Wdfy4
15	67353653	67353853	15:67353653-67353853	.	200	cluster_1	1700012I11Rik
15	73489535	73489735	15:73489535-73489735	.	200	cluster_1	Slc45a4
16	23970089	23970289	16:23970089-23970289	.	200	cluster_1	Gm32126
17	47502446	47502646	17:47502446-47502646	.	200	cluster_1	Trerf1
17	51300755	51300955	17:51300755-51300955	.	200	cluster_1	Tbc1d5
18	5376695	5376895	18:5376695-5376895	.	200	cluster_1	Gm50065
1	119462188	119462388	1:119462188-119462388	.	200	cluster_2	3830432H09Rik
1	143875178	143875378	1:143875178-143875378	.	200	cluster_2	Rgs2
1	171677108	171677308	1:171677108-171677308	.	200	cluster_2	Cd84
1	176680821	176681021	1:176680821-176681021	.	200	cluster_2	Hmga2-ps1
2	3665228	3665428	2:3665228-3665428	.	200	cluster_2	Fam107b
2	4536371	4536571	2:4536371-4536571	.	200	cluster_2	Frmd4a
2	5774540	5774740	2:5774540-5774740	.	200	cluster_2	Cdc123
2	6744897	6745097	2:6744897-6745097	.	200	cluster_2	Celf2
2	33093441	33093641	2:33093441-33093641	.	200	cluster_2	Angptl2
2	86005828	86006028	2:86005828-86006028	.	200	cluster_2	Olfr1044
2	145708757	145708957	2:145708757-145708957	.	200	cluster_2	Rin2
3	90172282	90172482	3:90172282-90172482	.	200	cluster_2	Dennd4b
3	97731362	97731562	3:97731362-97731562	.	200	cluster_2	Pde4dip
3	148624150	148624350	3:148624150-148624350	.	200	cluster_2	Adgrl2
4	45142561	45142761	4:45142561-45142761	.	200	cluster_2	Tomm5
4	95050653	95050853	4:95050653-95050853	.	200	cluster_2	Gm28096
4	95097640	95097840	4:95097640-95097840	.	200	cluster_2	Gm12708
