V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	Symbol
2	5422552	5422752	2:5422552-5422752	.	.	5422552	5422752	0	1	200	5422547	cluster_1	Camk1d
2	19150358	19150558	2:19150358-19150558	.	.	19150358	19150558	0	1	200	19150357	cluster_1	Armc3
2	29562883	29563083	2:29562883-29563083	.	.	29562883	29563083	0	1	200	29562881	cluster_1	Rapgef1
3	84505357	84505557	3:84505357-84505557	.	.	84505357	84505557	0	1	200	84505349	cluster_1	Tigd4
3	126725727	126725927	3:126725727-126725927	.	.	126725727	126725927	0	1	200	126725726	cluster_1	Ank2
4	102482318	102482518	4:102482318-102482518	.	.	102482318	102482518	0	1	200	102482317	cluster_1	Pde4b
6	122839855	122840055	6:122839855-122840055	.	.	122839855	122840055	0	1	200	122839854	cluster_1	C3ar1
7	37137381	37137581	7:37137381-37137581	.	.	37137381	37137581	0	1	200	37137378	cluster_1	Zfp536
8	47339267	47339467	8:47339267-47339467	.	.	47339267	47339467	0	1	200	47339263	cluster_1	1700011L03Rik
9	40486425	40486625	9:40486425-40486625	.	.	40486425	40486625	0	1	200	40486421	cluster_1	Gm48277
9	107157698	107157898	9:107157698-107157898	.	.	107157698	107157898	0	1	200	107157697	cluster_1	Mapkapk3
10	60088607	60088807	10:60088607-60088807	.	.	60088607	60088807	0	1	200	60088601	cluster_1	Psap
10	62784406	62784606	10:62784406-62784606	.	.	62784406	62784606	0	1	200	62784400	cluster_1	Dna2
10	120159752	120159952	10:120159752-120159952	.	.	120159752	120159952	0	1	200	120159751	cluster_1	1700006J14Rik
11	113399032	113399232	11:113399032-113399232	.	.	113399032	113399232	0	1	200	113399031	cluster_1	Slc39a11
12	17732271	17732471	12:17732271-17732471	.	.	17732271	17732471	0	1	200	17732270	cluster_1	Hpcal1
12	36033566	36033766	12:36033566-36033766	.	.	36033566	36033766	0	1	200	36033563	cluster_1	Agr2
12	73650504	73650704	12:73650504-73650704	.	.	73650504	73650704	0	1	200	73650497	cluster_1	Prkch
